icao24,callsign,origin_country,longitude,latitude,velocity,baro_altitude,geo_altitude,vertical_rate,hour,delay_seconds
a5f852,RTY484  ,United States,-105.0056,40.4411,0.0,,,,14,5
a798d1,N589RC  ,United States,-123.1307,43.6342,58.62,2438.4,2377.44,1.95,14,44
ac96b8,AAL3153 ,United States,-94.8111,41.1432,237.87,7002.78,7124.7,10.4,14,1
a8a812,N657PT  ,United States,-121.5866,41.3947,232.67,9448.8,9616.44,0.0,14,0
a6fe0e,N55LB   ,United States,-84.3802,32.0021,202.52,4815.84,5006.34,0.0,14,0
a5cb05,N4721B  ,United States,-81.9965,28.0315,36.54,548.64,640.08,2.93,14,1
408120,VIR47GH ,United Kingdom,-77.0738,45.2926,227.33,11582.4,11269.98,0.0,14,0
ac494e,CMD3    ,United States,-121.2042,38.8042,60.42,342.9,335.28,0.65,14,1
aa56da,UAL1776 ,United States,-85.9598,37.4464,232.64,11277.6,11483.34,-0.33,14,0
a1b2e3,N20858  ,United States,-122.2035,38.2021,50.35,701.04,662.94,-0.98,14,0
a425dd,N36664  ,United States,-111.3625,34.2875,85.22,3177.54,3322.32,0.33,14,0
408121,VIR117F ,United Kingdom,-76.986,39.0016,208.08,11590.02,11559.54,-0.33,14,0
ade18c,AAL1859 ,United States,-113.0481,32.9059,209.49,10363.2,10858.5,0.65,14,1
abd9d9,SWA4431 ,United States,-108.8312,35.4804,217.98,11582.4,12085.32,0.0,14,0
ab6fdd,AAL2879 ,United States,-114.1365,38.2399,257.57,10668.0,11071.86,0.0,14,14
a3b87f,DAL1890 ,United States,-107.214,31.8838,225.53,10980.42,11521.44,0.0,14,0
a34e6a,ENY3780 ,United States,-80.4756,25.7025,124.41,1143.0,1234.44,0.33,14,0
aa56d4,UAL2093 ,United States,-91.3235,42.3389,193.23,11582.4,11673.84,0.0,14,0
a09294,N136MF  ,United States,-84.5153,38.0418,50.99,457.2,464.82,3.9,14,0
a0e279,N156WM  ,United States,-80.2505,25.9983,37.56,-7.62,30.48,-1.95,14,0
a3fefb,N357BV  ,United States,-88.0345,34.8882,240.95,11887.2,12214.86,0.0,14,0
ae0195,TRICK45 ,United States,-89.2675,31.2304,176.92,4183.38,4373.88,0.0,14,1
ac1c29,N88GY   ,United States,-89.6117,41.369,63.28,1798.32,1775.46,-0.33,14,1
a57b43,N452TR  ,United States,-108.6889,41.8725,223.9,13106.4,13426.44,-0.33,14,88
a9a0fb,N7198Q  ,United States,-82.2614,28.2979,44.92,518.16,594.36,-1.3,14,0
aaef60,AAL2872 ,United States,-97.1058,33.2174,121.71,1188.72,1242.06,-0.98,14,0
a3b88e,AAL3241 ,United States,-80.7943,36.3421,224.63,7802.88,7955.28,8.45,14,0
a2e5e3,N286SP  ,United States,-121.8427,38.5204,46.53,579.12,571.5,-0.33,14,0
a36898,DAL1981 ,United States,-81.4391,29.1351,215.2,11277.6,11788.14,0.0,14,0
acdfa3,ASA442  ,United States,-83.3991,41.8151,299.4,10668.0,10568.94,0.0,14,1
a282e8,N261CB  ,United States,-96.4088,35.9541,75.32,1005.84,1074.42,-0.33,14,0
a798f5,N589SP  ,United States,-121.1667,44.6376,40.68,937.26,899.16,-1.95,14,0
ad3c16,AAL3090 ,United States,-87.0523,31.6862,270.65,11277.6,11696.7,0.0,14,1
