icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5f852,RTY484  ,United States,1762982726,1762982731,-105.0056,40.4411,,True,0.0,247.5,,,,,False,0
a798d1,N589RC  ,United States,1762982649,1762982693,-123.1307,43.6342,2438.4,False,58.62,169.38,1.95,,2377.44,,False,0
ac96b8,AAL3153 ,United States,1762982739,1762982740,-94.8111,41.1432,7002.78,False,237.87,107.49,10.4,,7124.7,3621,False,0
a8a812,N657PT  ,United States,1762982739,1762982739,-121.5866,41.3947,9448.8,False,232.67,172.12,0.0,,9616.44,,False,0
a6fe0e,N55LB   ,United States,1762982739,1762982739,-84.3802,32.0021,4815.84,False,202.52,346.63,0.0,,5006.34,7307,False,0
a5cb05,N4721B  ,United States,1762982739,1762982740,-81.9965,28.0315,548.64,False,36.54,350.27,2.93,,640.08,,False,0
408120,VIR47GH ,United Kingdom,1762982739,1762982739,-77.0738,45.2926,11582.4,False,227.33,235.23,0.0,,11269.98,0753,False,0
ac494e,CMD3    ,United States,1762982739,1762982740,-121.2042,38.8042,342.9,False,60.42,42.93,0.65,,335.28,,False,0
aa56da,UAL1776 ,United States,1762982740,1762982740,-85.9598,37.4464,11277.6,False,232.64,15.39,-0.33,,11483.34,7302,False,0
a1b2e3,N20858  ,United States,1762982739,1762982739,-122.2035,38.2021,701.04,False,50.35,97.63,-0.98,,662.94,,False,0
a425dd,N36664  ,United States,1762982740,1762982740,-111.3625,34.2875,3177.54,False,85.22,234.58,0.33,,3322.32,,False,0
408121,VIR117F ,United Kingdom,1762982740,1762982740,-76.986,39.0016,11590.02,False,208.08,225.2,-0.33,,11559.54,7010,False,0
ade18c,AAL1859 ,United States,1762982739,1762982740,-113.0481,32.9059,10363.2,False,209.49,260.82,0.65,,10858.5,,False,0
abd9d9,SWA4431 ,United States,1762982738,1762982738,-108.8312,35.4804,11582.4,False,217.98,262.41,0.0,,12085.32,,False,0
ab6fdd,AAL2879 ,United States,1762982715,1762982729,-114.1365,38.2399,10668.0,False,257.57,92.98,0.0,,11071.86,,False,0
a3b87f,DAL1890 ,United States,1762982739,1762982739,-107.214,31.8838,10980.42,False,225.53,274.58,0.0,,11521.44,,False,0
a34e6a,ENY3780 ,United States,1762982739,1762982739,-80.4756,25.7025,1143.0,False,124.41,265.26,0.33,,1234.44,,False,0
aa56d4,UAL2093 ,United States,1762982739,1762982739,-91.3235,42.3389,11582.4,False,193.23,262.04,0.0,,11673.84,3546,False,0
a09294,N136MF  ,United States,1762982740,1762982740,-84.5153,38.0418,457.2,False,50.99,87.11,3.9,,464.82,,False,0
a0e279,N156WM  ,United States,1762982525,1762982525,-80.2505,25.9983,-7.62,False,37.56,90.78,-1.95,,30.48,,False,0
a3fefb,N357BV  ,United States,1762982740,1762982740,-88.0345,34.8882,11887.2,False,240.95,60.59,0.0,,12214.86,3622,False,0
ae0195,TRICK45 ,United States,1762982735,1762982736,-89.2675,31.2304,4183.38,False,176.92,203.66,0.0,,4373.88,,False,0
ac1c29,N88GY   ,United States,1762982737,1762982738,-89.6117,41.369,1798.32,False,63.28,334.48,-0.33,,1775.46,,False,0
a57b43,N452TR  ,United States,1762982573,1762982661,-108.6889,41.8725,13106.4,False,223.9,264.2,-0.33,,13426.44,1176,False,0
a9a0fb,N7198Q  ,United States,1762982737,1762982737,-82.2614,28.2979,518.16,False,44.92,39.89,-1.3,,594.36,,False,0
aaef60,AAL2872 ,United States,1762982740,1762982740,-97.1058,33.2174,1188.72,False,121.71,109.51,-0.98,,1242.06,2452,False,0
a3b88e,AAL3241 ,United States,1762982740,1762982740,-80.7943,36.3421,7802.88,False,224.63,9.23,8.45,,7955.28,,False,0
a2e5e3,N286SP  ,United States,1762982739,1762982739,-121.8427,38.5204,579.12,False,46.53,215.1,-0.33,,571.5,,False,0
a36898,DAL1981 ,United States,1762982740,1762982740,-81.4391,29.1351,11277.6,False,215.2,339.57,0.0,,11788.14,4076,False,0
acdfa3,ASA442  ,United States,1762982739,1762982740,-83.3991,41.8151,10668.0,False,299.4,111.36,0.0,,10568.94,6677,False,0
a282e8,N261CB  ,United States,1762982588,1762982588,-96.4088,35.9541,1005.84,False,75.32,43.62,-0.33,,1074.42,,False,0
a798f5,N589SP  ,United States,1762982658,1762982658,-121.1667,44.6376,937.26,False,40.68,122.08,-1.95,,899.16,,False,0
ad3c16,AAL3090 ,United States,1762982739,1762982740,-87.0523,31.6862,11277.6,False,270.65,50.17,0.0,,11696.7,7137,False,0
a5954e,UAL3049 ,United States,1762982738,1762982738,-101.4474,42.3468,10668.0,False,275.56,85.5,0.0,,10934.7,3755,False,0
a71e53,BPX269  ,United States,1762982740,1762982740,-80.3854,25.998,487.68,False,44.32,86.67,0.65,,533.4,,False,0
aa9300,UAL804  ,United States,1762982739,1762982739,-95.0632,48.2465,11277.6,False,303.38,125.68,0.0,,11155.68,6771,False,0
a22235,N23675  ,United States,1762982739,1762982740,-82.3842,34.0688,1341.12,False,44.67,231.55,0.65,,1325.88,,False,0
a305e2,N294RW  ,United States,1762982540,1762982546,-90.705,42.405,,True,0.0,227.81,,,,,False,0
ae1fbf,BELLS17 ,United States,1762982631,1762982646,-85.5641,31.0335,533.4,False,46.35,188.94,-2.6,,594.36,,False,0
c06a11,TLK324  ,Canada,1762982740,1762982740,-95.5298,37.2116,12496.8,False,185.24,11.37,0.0,,12824.46,7351,False,0
ab165c,N813V   ,United States,1762982740,1762982740,-80.1492,26.685,182.88,False,77.25,92.67,-4.88,,228.6,,False,0
ab63bc,N833CL  ,United States,1762982739,1762982739,-81.5232,30.0379,10736.58,False,201.95,328.86,-7.48,,11178.54,2123,False,0
a175fa,N1932M  ,United States,1762982738,1762982738,-115.1631,36.0816,,True,7.72,270.0,,,,,False,0
a21b44,MXY237  ,United States,1762982739,1762982739,-122.3832,37.6244,-7.62,False,52.47,118.07,0.0,,,,False,0
aa8c10,SKW5878 ,United States,1762982739,1762982740,-104.6895,39.6806,2628.9,False,104.95,0.28,-5.85,,2712.72,,False,0
a6eb12,LXJ545  ,United States,1762982740,1762982740,-85.1647,38.1363,13716.0,False,265.21,84.32,-0.33,,13860.78,,False,0
aaf656,VXP53   ,United States,1762982739,1762982739,-107.8234,31.9322,11582.4,False,224.08,285.86,0.0,,12138.66,,False,0
a08b7c,EJA134  ,United States,1762982739,1762982739,-113.5653,35.8244,11643.36,False,225.27,248.71,-6.18,,12161.52,,False,0
a46e40,DAL1416 ,United States,1762982740,1762982740,-84.1801,33.6775,1280.16,False,93.97,203.9,-6.83,,1333.5,7306,False,0
aa56b8,UAL642  ,United States,1762982738,1762982738,-99.1996,36.103,10972.8,False,212.97,261.11,0.33,,11376.66,,False,0
a808d7,ATN4304 ,United States,1762982739,1762982740,-87.3563,40.9732,10447.02,False,271.67,89.02,-13.0,,10492.74,3751,False,0
a57b4d,UAL2625 ,United States,1762982739,1762982739,-103.1379,40.3344,8915.4,False,201.76,255.68,-5.53,,9258.3,,False,0
a6c8cd,VJA536  ,United States,1762982739,1762982740,-73.2298,42.9072,12222.48,False,200.41,275.15,3.9,,11986.26,3423,False,0
ad5628,DAL3028 ,United States,1762982740,1762982740,-82.6483,33.642,5791.2,False,241.33,81.54,-0.33,,6004.56,6020,False,0
a1c5e0,ENY3762 ,United States,1762982740,1762982740,-84.7022,30.6948,9144.0,False,206.89,303.85,0.0,,9509.76,3765,False,0
a33b23,UPS2778 ,United States,1762982739,1762982740,-89.2894,36.0016,10370.82,False,226.51,241.51,0.0,,10622.28,,False,0
ab63d7,DAL1225 ,United States,1762982739,1762982739,-84.1183,38.603,10058.4,False,256.28,176.09,0.0,,10187.94,4153,False,0
a46e35,DAL1010 ,United States,1762982740,1762982740,-78.0421,38.1118,9753.6,False,204.77,221.74,0.0,,9784.08,3304,False,0
a33b1e,AAL2833 ,United States,1762982740,1762982740,-87.4532,42.0564,1211.58,False,120.01,170.38,0.0,,1173.48,3724,False,0
a34215,EDV5513 ,United States,1762982740,1762982740,-83.5405,39.7779,10058.4,False,259.03,165.74,0.33,,10104.12,4135,False,0
