icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5f852,RTY484  ,United States,1762984177,1762984177,-105.003,40.431,1653.54,False,46.07,343.79,2.6,,1676.4,,False,0
ac96b8,AAL3153 ,United States,1762984176,1762984176,-90.5979,40.157,10058.4,False,261.06,106.72,0.0,,10226.04,4433,False,0
aa3cbe,N759PA  ,United States,1762984177,1762984177,-111.8536,41.7743,1440.18,False,40.25,51.23,-7.8,,1493.52,1200,False,0
a8a812,N657PT  ,United States,1762984176,1762984176,-121.088,38.5727,6522.72,False,197.68,172.52,-10.08,,6667.5,,False,0
a5cb05,N4721B  ,United States,1762984177,1762984177,-82.0961,28.5594,1280.16,False,41.8,346.48,0.0,,1348.74,,False,0
408120,VIR47GH ,United Kingdom,1762984177,1762984177,-79.3939,43.8436,1455.42,False,101.71,207.73,-2.93,,1318.26,0753,False,0
aa56da,UAL1776 ,United States,1762984177,1762984177,-85.7208,40.2972,7764.78,False,204.0,346.14,-4.55,,7802.88,7302,False,0
a1b2e3,N20858  ,United States,1762984177,1762984177,-122.1041,38.1382,853.44,False,45.59,130.88,2.28,,830.58,,False,0
a425dd,N36664  ,United States,1762984159,1762984176,-111.7934,33.2806,441.96,False,46.7,229.47,-3.9,,434.34,,False,0
408121,VIR117F ,United Kingdom,1762984177,1762984177,-79.2174,36.8803,11582.4,False,224.3,216.61,-0.33,,11750.04,7010,False,0
a808bb,N61697  ,United States,1762984169,1762984169,-80.5982,25.5722,518.16,False,53.11,278.91,-1.95,,594.36,,False,0
ade18c,AAL1859 ,United States,1762984177,1762984177,-116.1596,32.7723,4335.78,False,183.58,262.76,-10.73,,4518.66,,False,0
a77ec5,EJA582  ,United States,1762984177,1762984177,-88.8549,35.7135,10972.8,False,206.84,250.08,0.0,,11285.22,,False,0
a412b6,N3612W  ,United States,1762984177,1762984177,-82.2544,34.748,1173.48,False,63.36,119.69,2.6,,1188.72,,False,0
abd9d9,SWA4431 ,United States,1762984177,1762984177,-112.1785,35.4957,9144.0,False,194.62,278.67,0.0,,9570.72,,False,0
ade191,DAL3171 ,United States,1762984176,1762984176,-84.4298,33.6446,,True,3.09,90.0,,,,,False,0
ab6fdd,AAL2879 ,United States,1762984176,1762984176,-109.9105,37.9756,10668.0,False,255.61,107.45,0.0,,11102.34,,False,0
